,Зачислен на направление подготовки (специальность),Сумма баллов,Год
0,"05.03.01 Геология (Академический бакалавр, Кафедра ГНГ)",133,2014
1,"09.03.01 Информатика и вычислительная техника (Академический бакалавр, Кафедра КС)",136,2014
2,"09.03.02 Информационные системы и технологии (Академический бакалавр, Кафедра ПГФ)",146,2014
3,"12.03.01 Приборостроение (Академический бакалавр, Кафедра ФМД)",146,2014
4,"12.03.04 Биотехнические системы и технологии (Академический бакалавр, Кафедра КС)",113,2014
5,"13.03.02 Электроэнергетика и электротехника (Академический бакалавр, Кафедра ЭЭ)",158,2014
6,"15.03.01 Машиностроение (Академический бакалавр, Кафедра ТМ)",128,2014
7,"15.03.01 Машиностроение (Академический бакалавр, Кафедра ТУР)",109,2014
8,"15.03.02 Технологические машины и оборудование (Академический бакалавр, Кафедра СИ)",127,2014
9,"15.03.04 Автоматизация технологических процессов и производств (Академический бакалавр, Кафедра КС)",157,2014
10,"18.03.01 Химическая технология (Академический бакалавр, Кафедра ПНиГ)",145,2014
11,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии (Академический бакалавр, Кафедра ПНиГ)",119,2014
12,"19.03.04 Технология продукции и организация общественного питания (Академический бакалавр, Кафедра ТТПП)",130,2014
13,"20.03.01 Техносферная безопасность (Академический бакалавр, Кафедра техносферной безопасности)",115,2014
14,"21.03.01 Нефтегазовое дело (Академический бакалавр, Кафедра РЭНГМ)",124,2014
15,"21.03.01 Нефтегазовое дело (Академический бакалавр, Кафедра ТУР)",114,2014
16,"21.03.02 Землеустройство и кадастры (Академический бакалавр, Кафедра КиГС)",124,2014
17,"21.05.01 Прикладная геодезия (Инженер-геодезист, Кафедра КиГС)",110,2014
18,"21.05.02 Прикладная геология (Горный инженер-геолог, Кафедра ГНГ)",131,2014
19,21.05.03 Технология геологической разведки (Кафедра ПГФ),115,2014
20,"22.03.01 Материаловедение и технологии материалов (Академический бакалавр, Кафедра МТКМ)",124,2014
21,"23.03.01 Технология транспортных процессов (Академический бакалавр, Кафедра ЭАТ)",127,2014
22,"23.03.02 Наземные транспортно-технологические комплексы (Академический бакалавр, Кафедра ТТС)",129,2014
23,"23.03.03 Эксплуатация транспортно-технологических машин и комплексов (Академический бакалавр, Кафедра САТМ)",113,2014
24,"23.05.01 Наземные транспортно-технологические средства (Инженер, Кафедра ТТС)",109,2014
25,"27.03.01 Стандартизация и метрология (Академический бакалавр, Кафедра СИ)",109,2014
26,"27.03.02 Управление качеством (Академический бакалавр, Кафедра СИ)",122,2014
27,"27.03.04 Управление в технических системах (Академический бакалавр, Кафедра КС)",126,2014
28,"27.03.05 Инноватика (Академический бакалавр, Кафедра ТМ)",119,2014
29,"38.03.02 Менеджмент (Академический бакалавр, Кафедра МиМУ)",130,2014
